ID	AU	TI	SO	PY	VL	IS	Included?	Reason
117	Trolle, N; Lund, T; Winding, TN; Labriola, M	Perceived stress among 20-21 year-olds and their future labour market participation - an eight-year follow-up study	BMC PUBLIC HEALTH	2017	17		0	"Danish study
Full-text obtained"
118	Hutchison, C; Khan, MS; Yoong, J; Lin, X; Coker, RJ	Financial barriers and coping strategies: a qualitative study of accessing multidrug-resistant tuberculosis and tuberculosis care in Yunnan, China	BMC PUBLIC HEALTH	2017	17		0	Chinese study
119	Aldrich, DP; Kyota, E	Creating Community Resilience Through Elder-Led Physical and Social Infrastructure	DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS	2017	11	1	0	Japanese study
120	Ebersohn, L	A resilience, health and well-being lens for education and poverty	SOUTH AFRICAN JOURNAL OF EDUCATION	2017	37	1	0	South African study
121	Nelson, K; Taylor, L; Silverman, J; Kiefer, M; Hebert, P; Lessler, D; Krieger, J	Randomized Controlled Trial of a Community Health Worker Self-Management Support Intervention Among Low-Income Adults With Diabetes, Seattle, Washington, 2010-2014	PREVENTING CHRONIC DISEASE	2017	14		0	US-based study
122	Leonard, T; Hughes, AE; Pruit, SL	Understanding How Low-Socioeconomic Status Households Cope with Health Shocks: An Analysis of Multisector Linked Data	ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE	2017	669	1	0	"US-based study
Full-text obtained"
123	Waa, AM; Pearson, AL; Ryks, JL	Premature mortality resilience and wellbeing within urban Maori communities	HEALTH & PLACE	2017	43		0	New Zealand study
124	Chen, Y; Zhang, Z; Shi, PJ; Song, X; Wang, P; Wei, X; Tao, FL	Public perception and responses to environmental pollution and health risks: evaluation and implication from a national survey in China	JOURNAL OF RISK RESEARCH	2017	20	3	0	Chinese study
125	Agenor, PR	A COMPUTABLE OVERLAPPING GENERATIONS MODEL FOR GENDER AND GROWTH POLICY ANALYSIS	MACROECONOMIC DYNAMICS	2017	21	1	0	"Simulation: based on hypothetical data
Full-text obtained"
126	Olson, EL	The rationalization and persistence of organic food beliefs in the face of contrary evidence	JOURNAL OF CLEANER PRODUCTION	2017	140		0	US-based study
127	Pillay, J	Factors leading to orphans and vulnerable children living in community-based homes	JOURNAL OF PSYCHOLOGY IN AFRICA	2016	26	6	0	South African study
128	Akbulut-Yuksel, M; Kugler, AD	Intergenerational persistence of health: Do immigrants get healthier as they remain in the US for more generations?	ECONOMICS & HUMAN BIOLOGY	2016	23		0	US-based study
129	Perez, L; Morales, KH; Klusaritz, H; Han, XY; Huang, JR; Rogers, M; Bennett, IM; Rand, CS; Ndicu, G; Apter, AJ	A health care navigation tool assesses asthma self-management and health literacy	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	2016	138	6	0	US-based study
130	Brody, GH; Yu, TY; Miller, GE; Chen, E	Resilience in Adolescence, Health, and Psychosocial Outcomes	PEDIATRICS	2016	138	6	0	US-based study
131	Ozawa, S; Paina, L; Qiu, M	Exploring pathways for building trust in vaccination and strengthening health system resilience	BMC HEALTH SERVICES RESEARCH	2016	16		0	"US-based researchers
Systematic review: not based on particular geography"
132	Koblinsky, M; Moyer, CA; Calvert, C; Campbell, J; Campbell, OMR; Feigl, AB; Graham, WJ; Hatt, L; Hodgins, S; Matthews, Z; McDougall, L; Moran, AC; Nandakumar, AK; Langer, A	Quality maternity care for every woman, everywhere: a call to action	LANCET	2016	388	10057	0	Not empirical paper
133	Le, MTH; Holton, S; Nguyen, HT; Wolfe, R; Fisher, J	Victimisation, poly-victimisation and health-related quality of life among high school students in Vietnam: a cross-sectional survey	HEALTH AND QUALITY OF LIFE OUTCOMES	2016	14		0	Vietnamese study
134	Chan, I; Corvin, JA	Chronic Disease and Depression Among Hispanic Americans: Reconceptualizing the Masculine Self	AMERICAN JOURNAL OF MENS HEALTH	2016	10	6	0	US-based study
135	De Donder, L; Lang, G; Ferreira-Alves, J; Penhale, B; Tamutiene, I; Luoma, ML	Risk factors of severity of abuse against older women in the home setting: A multinational European study	JOURNAL OF WOMEN & AGING	2016	28	6	0	"Not UK based
Duplicate of 103"
136	Geboers, B; de Winter, AF; Spoorenberg, SLW; Wynia, K; Reijneveld, SA	The association between health literacy and self-management abilities in adults aged 75 and older, and its moderators	QUALITY OF LIFE RESEARCH	2016	25	11	0	"Dutch study
Full-text obtained"
137	Kim, CO	Discrimination-related health inequality and role of social capital among marriage migrant women in South Korea	INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH	2016	15		0	South Korean study
138	Ngo, VK; Sherbourne, C; Chung, BW; Tang, LQ; Wright, AL; Whittington, Y; Wells, K; Miranda, J	Community Engagement Compared With Technical Assistance to Disseminate Depression Care Among Low-Income, Minority Women: A Randomized Controlled Effectiveness Study	AMERICAN JOURNAL OF PUBLIC HEALTH	2016	106	10	0	US-based study
139	Whealin, JM; Jenchura, EC; Wong, AC; Zulman, DM	How Veterans With Post-Traumatic Stress Disorder and Comorbid Health Conditions Utilize eHealth to Manage Their Health Care Needs: A Mixed-Methods Analysis	JOURNAL OF MEDICAL INTERNET RESEARCH	2016	18	10	0	"US-based study
Duplicate of 115"
140	Fuehrlein, BS; Mota, N; Arias, AJ; Trevisan, LA; Kachadourian, LK; Krystal, JH; Southwick, SM; Pietrzak, RH	The burden of alcohol use disorders in US military veterans: results from the National Health and Resilience in Veterans Study	ADDICTION	2016	111	10	0	US-based study
141	Minges, KE; Whittemore, R; Chao, AM; Jefferson, V; Murphy, KM; Grey, M	Clinical, Psychosocial, and Demographic Factors Are Associated With Overweight and Obesity in Early Adolescent Girls With Type 1 Diabetes	DIABETES EDUCATOR	2016	42	5	0	"US-based study
Duplicate of 112"
142	Gastaldi-Menager, C; Geoffard, PY; de Lagasnerie, G	Medical Spending in France: Concentration, Persistence and Evolution before Death	FISCAL STUDIES	2016	37	3-4	0	French study
143	Elovainio, M; Rosenstrom, T; Hakulinen, C; Pulkki-Raback, L; Mullola, S; Jokela, M; Josefsson, K; Raitakari, OT; Keltikangas-Jarvinen, L	Educational attainment and health transitions over the life course: testing the potential mechanisms	JOURNAL OF PUBLIC HEALTH	2016	38	3	0	Finnish study
144	Profis, M; Simon-Tuval, T	The influence of healthcare workers' occupation on Health Promoting Lifestyle Profile	INDUSTRIAL HEALTH	2016	54	5	0	"Israeli study
Full-text obtained"
145	Everett, BG; McCabe, KF; Hughes, TL	Unintended Pregnancy, Depression, and Hazardous Drinking in a Community-Based Sample of Sexual Minority Women	JOURNAL OF WOMENS HEALTH	2016	25	9	0	US-based study
146	Fjermestad, KW; Naess, EE; Bahr, D; Gravholt, CH	A 6-year Follow-up survey of health status in middle-aged women with Turner syndrome	CLINICAL ENDOCRINOLOGY	2016	85	3	0	"Nordic
Full-text obtained"
147	Guilcher, SJT; Hamilton-Wright, S; Skinner, W; Woodhall-Melnik, J; Ferentzy, P; Wendaferew, A; Hwang, SW; Matheson, FI	Talk with me: perspectives on services for men with problem gambling and housing instability	BMC HEALTH SERVICES RESEARCH	2016	16		0	Canadian study
148	Yang, XS; Yao, LT; Wu, H; Wang, Y; Liu, L; Wang, JN; Wang, L	Quality of Life and Its Related Factors in Chinese Unemployed People: A Population-Based Cross-Sectional Study	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	2016	13	8	0	Chinese study
149	Salihu, HM; Adegoke, KK; Das, R; Wilson, RE; Mazza, J; Okoh, JO; Naik, E; Berry, E	Community-based fortified dietary intervention improved health outcomes among low-income African-American women	NUTRITION RESEARCH	2016	36	8	0	US-based study
150	Reisner, SL; Poteat, T; Keatley, J; Cabral, M; Mothopeng, T; Dunham, E; Holland, CE; Max, R; Baral, SD	Global health burden and needs of transgender populations: a review	LANCET	2016	388	10042	0	"International systematic review.
Predominantly US-based.
Specific population (transgender)"
151	Fu, Y; Yu, G; McNichol, E; Marczewski, K; Closs, SJ	The effects of patient-professional partnerships on the self-management and health outcomes for patients with chronic back pain: A quasi-experimental study	INTERNATIONAL JOURNAL OF NURSING STUDIES	2016	59		1	
152	Kagan, J	An Overly Permissive Extension	PERSPECTIVES ON PSYCHOLOGICAL SCIENCE	2016	11	4	0	Not empirical paper
153	Dhanaraj, S	Economic vulnerability to health shocks and coping strategies: evidence from Andhra Pradesh, India	HEALTH POLICY AND PLANNING	2016	31	6	0	Indian study
154	Mitra, S; Palmer, M; Mont, D; Groce, N	Can Households Cope with Health Shocks in Vietnam?	HEALTH ECONOMICS	2016	25	7	0	Vietnamese study
155	Amalberti, R; Nicklin, W; Braithwaite, J	Preparing national health systems to cope with the impending tsunami of ageing and its associated complexities: Towards more sustainable health care	INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE	2016	28	3	0	Opinion/conference report
156	Ko, Y; Chee, W; Im, EO	Factors Associated With Perceived Health Status of Multiracial/Ethnic Midlife Women in the United States	JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING	2016	45	3	0	US-based study
157	Leigh, JP; De Vogli, R	Low Wages as Occupational Health Hazards	JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE	2016	58	5	0	US-based study
158	Tutty, LM; Babins-Wagner, R; Rothery, MA	You're Not Alone: Mental Health Outcomes in Therapy Groups for Abused Women	JOURNAL OF FAMILY VIOLENCE	2016	31	4	0	"Canadian study
Duplicate of 111"
159	Carbonneau, R; Boivin, M; Brendgen, M; Nagin, D; Tremblay, RE	Comorbid Development of Disruptive Behaviors from age 1A1/2 to 5 Years in a Population Birth-Cohort and Association with School Adjustment in First Grade	JOURNAL OF ABNORMAL CHILD PSYCHOLOGY	2016	44	4	0	"Not UK-based study
Duplicate of 109"
160	Rata, E; Zubaran, C	Ethnic Classification in the New Zealand Health Care System	JOURNAL OF MEDICINE AND PHILOSOPHY	2016	41	2	0	New Zealand study
161	Hobkirk, AL; Watt, MH; Myers, B; Skinner, D; Meade, CS	A qualitative study of methamphetamine initiation in Cape Town, South Africa	INTERNATIONAL JOURNAL OF DRUG POLICY	2016	30		0	South African study
162	Ruggiano, N; Whiteman, K; Shtompel, N	If I Don't Like the Way I Feel With a Certain Drug, I'll Tell Them.: Older Adults' Experiences With Self-Determination and Health Self-Advocacy	JOURNAL OF APPLIED GERONTOLOGY	2016	35	4	0	US-based study
163	Dodson, S; Klassen, KM; McDonald, K; Millard, T; Osborne, RH; Battersby, MW; Fairley, CK; Simpson, JA; Lorgelly, P; Tonkin, A; Roney, J; Slavin, S; Sterjovski, J; Brereton, M; Lewin, SR; Crooks, L; Watson, J; Kidd, MR; Williams, I; Elliott, JH	HealthMap: a cluster randomised trial of interactive health plans and self-management support to prevent coronary heart disease in people with HIV	BMC INFECTIOUS DISEASES	2016	16		0	Australian study
164	Kraeh, A; Froese, FJ; Kim, SG	Does socio-cultural and psychological adjustment influence physical health? The case of North Korean refugees in South Korea	INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS	2016	51		0	"North/South Korean study
Duplicate of 107"
165	Crawford, HA; Barton, B; Wilson, MJ; Berman, Y; McKelvey-Martin, VJ; Morrison, PJ; North, KN	Uptake of health monitoring and disease self-management in Australian adults with neurofibromatosis type 1: strategies to improve care	CLINICAL GENETICS	2016	89	3	0	Australian study
166	Rechenberg, K; Whittemore, R; Grey, M; Jaser, S	Contribution of income to self-management and health outcomes in pediatric type 1 diabetes	PEDIATRIC DIABETES	2016	17	2	0	US-based study
167	Schwalm, JD; McKee, M; Huffman, MD; Yusuf, S	Resource Effective Strategies to Prevent and Treat Cardiovascular Disease	CIRCULATION	2016	133	8	0	Review of strategies: not empirical
168	Parekh, S; Kendall, E; Ehrlich, C	Variability in Use of Health Services and Its Association with Self-Management Skills: A Population-Based Exploratory Analysis	POPULATION HEALTH MANAGEMENT	2016	19	1	0	Australian study
169	Wurie, HR; Samai, M; Witter, S	Retention of health workers in rural Sierra Leone: findings from life histories	HUMAN RESOURCES FOR HEALTH	2016	14		0	Sierra Leone study
170	Bigdeli, M; Jacobs, B; Men, CR; Nilsen, K; Van Damme, W; Dujardin, B	Access to Treatment for Diabetes and Hypertension in Rural Cambodia: Performance of Existing Social Health Protection Schemes	PLOS ONE	2016	11	1	0	Cambodian study
171	Atal, S; Cheng, C	Socioeconomic health disparities revisited: coping flexibility enhances health-related quality of life for individuals low in socioeconomic status	HEALTH AND QUALITY OF LIFE OUTCOMES	2016	14		0	Indian study
172	Tjornstrand, C; Argentzell, E; Eklund, M	Perceived social status among people with psychiatric disabilities attending work-oriented and meeting place-oriented day centers	WORK-A JOURNAL OF PREVENTION ASSESSMENT & REHABILITATION	2016	55	1	0	Swedish study
173	Erskine, J; Kvavilashvili, L; Myers, L; Leggett, S; Davies, S; Hiskey, S; Hogg, J; Yeo, S; Georgiou, G	A longitudinal investigation of repressive coping and ageing	AGING & MENTAL HEALTH	2016	20	10	1	
174	Labat, F; Sharma, A	Qualitative study exploring surgical team members' perception of patient safety in conflict-ridden Eastern Democratic Republic of Congo	BMJ OPEN	2016	6	4	0	Not UK based study
175	Coren, E; Hossain, R; Pardo, JP; Bakker, B	Interventions for promoting reintegration and reducing harmful behaviour and lifestyles in street-connected children and young people	COCHRANE DATABASE OF SYSTEMATIC REVIEWS	2016		1	0	"Systematic review
Only US and South Korean papers
Full-text obtained"
176	Eibich, P; Krekel, C; Demuth, I; Wagner, GG	Associations between Neighborhood Characteristics, Well-Being and Health Vary over the Life Course	GERONTOLOGY	2016	62	3	0	German study
177	Jeong, A; Shin, DW; Kim, SY; Yang, HK; Shin, JY; Park, K; An, JY; Park, JH	The effects on caregivers of cancer patients' needs and family hardiness	PSYCHO-ONCOLOGY	2016	25	1	0	"South Korean study
Duplicate of 102"
