ID	TI	AU	YR	Population	Method(s)	Outcome variable	Resilience	Limitations	Key results
13	Community resilience and health: The role of bonding, bridging, and linking aspects of social capital	Wouter, Poortinga	2012	2007 & 2009 Citizenship Survey, n = 17,572	Multilevel modelling	Neighbourhood deprivation (IMD 2004); SR general health	Bonding social capital; bridging social capital; linking social capital	Survey not designed with social capital in mind; causal claims cannot be made; OA might not represent a ‘neighbourhood’; social capital measured at individual level but might be area-based effect	Social capital might not protect against the effects of neighbourhood deprivation: risk of ‘relying too much on tight neighbourhood networks’
16	'On the street where you live': Neighbourhood deprivation and quality of life among community-dwelling older people in Edinburgh, Scotland	Mottus, Rene; Gale, Catharine R; Starr, John M; Deary, Ian J	2012	Older people (68-71); n = 1091; Edinburgh; Lothian Birth Cohort 1936 follow-up sample (Scottish Mental Survey 1947); lived independently in community; Scottish IMD	Secondary data analysis plus primary contemporary data collection. Bivariate/multivariate correlations	Quality of Life (WHOQOL-BREF): 4 domains of life quality: physical; psychological; social; environment	Cognitive ability (age 11 & 70) – Moray House Test no 12; other covariates	Possible overlap between IMD measures and questions in QOL (colinear?); more detailed information about neighbourhood environment (e.g. mobility) desirable; cannot generalise beyond this age and cohort.	Neighbourhood deprivation associated with physical and environmental QOL, in spite of confounders. Higher physical and environmental QOL associated with lower neighbourhood deprivation; higher cognitive functioning; education; social class; higher counts of disease. Higher psychological QOL associated with higher social class; current cognitive functioning; lower number of diseases
23	Exploring Health Priorities for Young People Leaving Care	Matthews, Susan; Sykes, Susie	2012	Care leavers/looked after children (LAC); n = 9; 16-21 years; some transitioning out of care; structural disadvantage	Semi-structured interviews; interpretive phenomenological approach (description of experiences/motivations); purposive sampling	Psychological functioning (motivation; self-esteem); absence of risk behaviours (smoking)	Have someone to support, push, or encourage them; resilience ‘training’ before leaving care	Small sample (9); rural Las; not generalisable; English speakers only; recruitment issues; risk of self-selection; no comparison group	View of own health: often medical model; take health for granted; health behaviours often poor because of lack of awareness in care system
32	Defying the odds?: identifying and understanding the relationship between health and resilience	Cairns, Joanne-Marie	2013	LADs; CASWARDs; LSOAs; 2001 census; long term economic deprivation (Townsend)	Mixed methods: regression tree classification; focus groups and in-depth interviews; checked with factor analysis; multiple correspondence analysis; logistic regression	Low premature mortality; low morbidity (SR general health; Limiting long term illness)	Place attachment; social capital; natural environment (benefit of being near nature; symbolic/history for residents)	Difficult to differentiate statistically between different forms of social capital; green space measure of quantity not quality; qual aspects not generalisable and no comparison areas; 	Health resilience dependent on measures and geographical scales used; social capital can be protective and source of risk; shared history/heritage of area can be protective; depends on good quality public services (transport; supermarkets; healthcare; leisure)
37	Work-related needs and experiences of people recovering from mental health problems	Cameron, Josh	2013	Employed people using acute mental health services; community job retention project for MH	Semi-structured interviews	Mental health	(Return to) working; finance; social capital; occupational capital (capacities and skills developed and used in employment); personal capital; feeling competent	Not representative/generalisable; not geographically representative; no ethnic diversity; few physical disability respondents; no respondents aged 30-50	Support returning to work: keep in touch with work; mitigate iatrongenic effects of sick leave; maintain work orientation and identity; return to work planning; peer support
46	Defying the odds: A mixed-methods study of health resilience in deprived areas of England	Cairns-Nagi, Joanne Marie; Bambra, Clare	2013	LADs; CASWARDs; LSOAs; 2001 census; long term economic deprivation (Townsend); case study area NE England	Mixed: RTC; focus groups; in-depth interviews	Premature mortality; self-reported general health; limiting long term illness	Place attachment; social capital; natural environment	Not generalisable; similar areas may not exhibit resilience	Scale in health geography important; used multiple health indicators and highlighted protective factors
67	Sports participation and health during periods of educational transition: a study of 30-35-year-olds in north-west England	Haycock, David; Smith, Andy	2014	30-35 years; NW England; 19 participants	Semi-structured interviews	Sports participation in adult life	Playing/involved in sports in youth; friendship networks; higher social class	Limited aged range; no ethnic diversity; tendency to over self-report positive lifestyle behaviours; low response rate from initial postal survey	Males: typically higher sports participation in secondary school. Lower participation: body image, peer group ‘health inhibiting’ activities; social activities (music; alcohol). FE: dropped sports or sports participation also involved alcohol. HE: returned to sports especially social class C+
78	Coping in Parents and Caregivers of Children with Autism Spectrum Disorders (ASD): a Review	Lai, Wei Wei; Oei, Tian Po	2014	Parents of children with ASD; papers 1970-2013; 6 databases; 9 key terms searched; 37 papers	Systematic review	Coping: lower depression; anxiety; anger; negative mood. Self-rated depression; anxiety inventory; Questionnaire on resources and stress (QRS); Hospital Anxiety and Depression Scale (HADS); Rosenbery self-esteem scale; Depression Anxiety Stress Scale (DASS-21); Profile of Mood States; multiple bespoke measures	Problem focused: seeking treatment, intervention, information, or social support; reappraisal; reframing; seeking respite. Emotion focused:  adjusting and accommodating. Ways of Coping (WOC) scale; Multidimensional coping inventory (MCI); Brief Social Support Questionnaire; Coping Orientations to Problems Experienced (COPE) inventory; Social Support Index; multiple bespoke measures	Mostly cross-sectional designs; data collection instruments critical: can limit responses if theory-constructed; poorer response from parents if open ended; limited evidence about effectiveness of approaches; sampling bias	Problem focused coping resulted in improved outcomes for parents of ASD children
90	Variations in the relation between education and cause-specific mortality in 19 European populations: A test of the 'fundamental causes' theory of social inequalities in health	Mackenbach, Johan P; Kulhanova, Ivana; Bopp, Matthias; Deboosere, Patrick; Eikemo, Terje A; Hoffmann, Rasmus; Kulik, Margarete C; Leinsalu, Mall; Martikainen, Pekka; Menvielle, Gwenn; Regidor, Enrique; Wojtyniak, Bogdan; Ostergren, Olof; Lundberg, Olle	2015	19 European countries; various mostly national data sources; ages 30-79; 	Calculated relative risks using Poisson regression analysis	Mortality; 24 causes of death; preventable and non-preventable	Behaviour change; medical intervention; injury prevention.	Broad international scope limits data comparability; some countries data was cross-sectional; some countries largely urban samples; accuracy of cause of death certificates not perfect; 	Strong relationship between low education and higher mortality risks BUT mortality relative risks vary by region with similar levels of education; preventable mortality-especially behavioural-has highest variation; limited support for ‘spirit level’ hypothesis that link between SEP and mortality strongest in countries with highest inequalities
96	Risk and resilience: health inequalities, working conditions and sickness benefit arrangements: an analysis of the 2010 European Working Conditions survey	Wel, Kjetil A; Bambra, Clare; Dragano, Nico; Eikemo, Terje A; Lunau, Thorsten	2015	European Working Conditions survey 2010; n = 20k; 28 countries; especially respondents in poor working conditions (demand/control model); 25-60 years	Linear and logistic multilevel regression analyses	Self-reported mental wellbeing WHO wellbeing index; self-reported general health	Level of sickness benefit provision	Sickness benefit provision serves as proxy for wider state social support context; non-response not random; issues of self-reporting; 	Mental wellbeing of employees-especially those exposed to psychosocial job strain and physical hazards or who had little education-better in countries with more generous sickness benefit. No evidence of compensatory model of resilience (ie not health gains for everyone)
